name,true_score,game,review_link,useless1,Site_address,useless12,useless13,useless14,,
GamesBeat,75,,http://www.psx-sense.nl/175919/review-disney-infinity-2-0-marvel-super-heroes/,,,,,,,
CD-Action,70,,http://www.torontosun.com/2014/09/24/disney-infinity-20-review-toy-box-mode-the-real-heart-of-the-experience,,,,,,,
Playstation Official Magazine UK,70,,http://www.thesixthaxis.com/2014/09/24/disney-infinity-2-0-marvel-super-heroes-review/,,,,,,,
games(TM),70,,http://www.eurogamer.it/articles/2014-09-22-disney-infinity-2-0-marvel-super-heroes-le-possibilita-sono-in-finite-review-recensione,,,,,,,
Multiplayer.it,70,,http://www.shacknews.com/article/86403/disney-infinity-marvel-super-heroes-review-true-believers,,,,,,,
PSX-Sense.nl,70,,http://www.telegraph.co.uk/technology/video-games/video-game-reviews/11112720/Disney-Infinity-2.0-Marvel-Super-Heroes-review.html,,,,,,,
Toronto Sun,70,,http://www.joystiq.com/2014/09/19/disney-infinity-2-0-marvel-super-heroes-review-super-friends/,,,,,,,
TheSixthAxis,70,,http://www.godisageek.com/2014/09/disney-infinity-2-marvel-super-heroes-review/,,,,,,,
Eurogamer Italy,70,,http://www.gamespot.com/reviews/disney-infinity-marvel-super-heroes-2-0-edition-re/1900-6415877/,,,,,,,
Shacknews,70,,http://www.ign.com/articles/2014/09/19/disney-infinity-20-marvel-super-heroes-review,,,,,,,
Telegraph,70,,http://www.gameinformer.com/games/disney_infinity_marvel_super_heroes/b/playstation4/archive/2014/09/18/artists-welcome-heroes-stay-away.aspx,,,,,,,
Joystiq,70,,http://www.pushsquare.com/reviews/ps4/disney_infinity_marvel_super_heroes_20_edition,,,,,,,
God is a Geek,70,,http://www.gamereactor.se/recensioner/196984/Disney+Infinity+2.0%3A+Marvel+Super+Heroes/,,,,,,,
GameSpot,70,,http://level7.nu/pages/Disney_Infinity_20_-_Marvel_Super_Heroes,,,,,,,
IGN,68,,http://www.digitalspy.com/gaming/review/a598091/disney-infinity-20-review-ps4-extensive-toy-box-mode-saves-the-day.html,,,,,,,
Game Informer,65,,http://www.gameplanet.com.au/playstation-4/reviews/g542a22db535a9/Disney-Infinity-Marvel-Super-Heroes-review/,,,,,,,
Push Square,60,,http://www.darkstation.com/reviews/disney-infinity-2-0-marvel-super-heroes/,,,,,,,
Gamereactor Sweden,60,,%20http://www.jeuxactu.com/test-disney-infinity-20-ps4-une-suite-revue-et-corrigee-95427.htm,,,,,,,
Level7.nu,60,,http://metro.co.uk/2014/09/19/disney-infinity-2-0-marvel-super-heroes-review-the-parent-trap-4874936/,,,,,,,
Digital Spy,60,,http://gamingtrend.com/reviews/disney-infinity-2-0-finite-amount-fun/,,,,,,,
Gameplanet,60,,http://www.gamesradar.com/disney-infinity-20-review/,,,,,,,
