name,true_score,game,review_link,useless1,Site_address,useless12,useless13,useless14,,,,,,
DarkZero,80,,http://www.ztgd.com/reviews/dynasty-warriors-8-xtreme-legends-complete-edition-ps4-review/,http:,www.ztgd.com,reviews,dynasty-warriors-8-xtreme-legends-complete-edition-ps4-review,,,,,,,
ZTGD,80,,http://www.pushsquare.com/reviews/ps4/dynasty_warriors_8_xtreme_legends_complete_edition,http:,www.pushsquare.com,reviews,ps4,dynasty_warriors_8_xtreme_legends_complete_edition,,,,,,
Push Square,80,,http://www.playstationlifestyle.net/2014/03/28/dynasty-warriors-8-xtreme-legends-complete-edition-review-ps4/,http:,www.playstationlifestyle.net,2014,3,28,dynasty-warriors-8-xtreme-legends-complete-edition-review-ps4,,,,,
PlayStation LifeStyle,80,,http://www.psu.com/a022862/Dynasty-Warriors-8--Xtreme-Legends-Complete-Edition-Review---the-best-of-an-old-franchise,http:,www.psu.com,a022862,Dynasty-Warriors-8--Xtreme-Legends-Complete-Edition-Review---the-best-of-an-old-franchise,,,,,,,
Playstation Universe,80,,http://www.escapistmagazine.com/articles/view/editorials/reviews/11183-Dynasty-Warriors-8-Xtreme-Legends-Complete-Edition-Review-Lu-Butiful,http:,www.escapistmagazine.com,articles,view,editorials,reviews,11183-Dynasty-Warriors-8-Xtreme-Legends-Complete-Edition-Review-Lu-Butiful,,,,
The Escapist,80,,http://digitalchumps.com/game-reviews/352-playstation-4/dynasty-warriors-8-xtreme-legends-complete-edition.html,http:,digitalchumps.com,game-reviews,352-playstation-4,dynasty-warriors-8-xtreme-legends-complete-edition.html,,,,,,
Digital Chumps,76,,http://gamingtrend.com/reviews/dynasty-warriors-8-xtreme-legends-complete-edition-review/,http:,gamingtrend.com,reviews,dynasty-warriors-8-xtreme-legends-complete-edition-review,,,,,,,
GamingTrend,75,,http://it.ign.com/recensione/12797/l-infinito-dynasty-warriors-8-xtreme-legends-complete-edition,http:,it.ign.com,recensione,12797,l-infinito-dynasty-warriors-8-xtreme-legends-complete-edition,,,,,,
IGN Italia,75,,http://www.destructoid.com/review-dynasty-warriors-8-xtreme-legends-complete-edition-272305.phtml,http:,www.destructoid.com,review-dynasty-warriors-8-xtreme-legends-complete-edition-272305.phtml,,,,,,,,
Destructoid,75,,http://www.vandal.net/analisis/ps4/dynasty-warriors-8-xtreme-legends/22279,http:,www.vandal.net,analisis,ps4,dynasty-warriors-8-xtreme-legends,22279,,,,,
Vandal Online,74,,http://www.laps3.com/analisis/407226-analisis_dynasty_warriors_8_xtreme_legends_complete_edition_ps4.html,http:,www.laps3.com,analisis,407226-analisis_dynasty_warriors_8_xtreme_legends_complete_edition_ps4.html,,,,,,,
LaPS4,71,,http://www.nowgamer.com/ps4/ps4-review/2341984/dynasty_warriors_8_xtreme_legends_complete_edition_review.html,http:,www.nowgamer.com,ps4,ps4-review,2341984,dynasty_warriors_8_xtreme_legends_complete_edition_review.html,,,,,
games(TM),70,,http://multiplayer.it/recensioni/130144-dynasty-warriors-8-xtreme-legends-la-leggenda-continua.html,http:,multiplayer.it,recensioni,130144-dynasty-warriors-8-xtreme-legends-la-leggenda-continua.html,,,,,,,
Playstation Official Magazine UK,70,,http://www.hardcoregamer.com/2014/03/30/review-dynasty-warriors-8-xtreme-legends-complete-edition/80025/,http:,www.hardcoregamer.com,2014,3,30,review-dynasty-warriors-8-xtreme-legends-complete-edition,80025,,,,
NowGamer,70,,http://www.thesixthaxis.com/2014/03/28/dynasty-warriors-8-xtreme-legends-review-ps4/,http:,www.thesixthaxis.com,2014,3,28,dynasty-warriors-8-xtreme-legends-review-ps4,,,,,
Multiplayer.it,70,,http://www.everyeye.it/ps4/articoli/dynasty-warriors-8-extreme-legends-complete-edition_recensione_22104,http:,www.everyeye.it,ps4,articoli,dynasty-warriors-8-extreme-legends-complete-edition_recensione_22104,,,,,,
Hardcore Gamer,70,,http://www.spaziogames.it/recensioni_videogiochi/console_playstation_ps4/15998/dynasty-warriors-8-xtreme-legends-ce.aspx,http:,www.spaziogames.it,recensioni_videogiochi,console_playstation_ps4,15998,dynasty-warriors-8-xtreme-legends-ce.aspx,,,,,
TheSixthAxis,70,,http://www.gamerevolution.com/review/dynasty-warriors-8-xtreme-legends,http:,www.gamerevolution.com,review,dynasty-warriors-8-xtreme-legends,,,,,,,
Everyeye.it,65,,http://cheatcc.com/ps4/rev/dynastywarriors8xtremelegendscompleteeditionreview.html,http:,cheatcc.com,ps4,rev,dynastywarriors8xtremelegendscompleteeditionreview.html,,,,,,
SpazioGames,65,,http://www.gamesradar.com/dynasty-warriors-8-xtreme-legends-complete-review/,http:,www.gamesradar.com,dynasty-warriors-8-xtreme-legends-complete-review,,,,,,,,
Game Revolution,60,,http://www.gaming-age.com/2014/04/dynasty-warriors-8-xtreme-legends-complete-edition-review-ps4-ps-vita/,http:,www.gaming-age.com,2014,4,dynasty-warriors-8-xtreme-legends-complete-edition-review-ps4-ps-vita,,,,,,
Cheat Code Central,60,,%20http://www.jeuxactu.com/test-dynasty-warriors-8-xtreme-legends-sur-ps4-92681.htm,%20http:,www.jeuxactu.com,test-dynasty-warriors-8-xtreme-legends-sur-ps4-92681.htm,,,,,,,,
GamesRadar+,60,,http://www.gameblog.fr/tests/1922-dynasty-warriors-8-xtreme-legends-ps3-ps-vita-ps4,http:,www.gameblog.fr,tests,1922-dynasty-warriors-8-xtreme-legends-ps3-ps-vita-ps4,,,,,,,
Games Master UK,59,,,,,,,,,,,,,
Gaming Age,58,,,,,,,,,,,,,
Playstation Official Magazine Australia,55,,,,,,,,,,,,,
JeuxActu,55,,,,,,,,,,,,,
Gameblog.fr,50,,,,,,,,,,,,,
